lau	name	type
554979	Abertamy	M
531367	Adamov	O
535826	Adamov	O
581291	Adamov	M
547786	Adršpach	O
547981	Albrechtice	O
598925	Albrechtice	O
576077	Albrechtice nad Orlicí	O
549258	Albrechtice nad Vltavou	O
563528	Albrechtice v Jizerských horách	O
568741	Albrechtičky	O
506761	Alojzov	O
538001	Andělská Hora	O
551929	Andělská Hora	M
573426	Anenská Studánka	O
586030	Archlebov	O
509388	Arneštovice	O
586854	Arnolec	O
562343	Arnoltice	O
554499	Aš	M
537241	Babice	O
538043	Babice	O
552356	Babice	O
569828	Babice	O
590274	Babice	O
592013	Babice	O
582794	Babice nad Svitavou	O
582808	Babice u Rosic	O
553433	Babylon	O
561118	Bácovice	O
553701	Bačalky	O
576085	Bačetín	O
590282	Bačice	O
546194	Bačkov	O
544833	Bačkovice	O
535427	Bakov nad Jizerou	M
595217	Baliny	O
563251	Balkova Lhota	O
572560	Banín	O
592021	Bánov	O
562726	Báňovice	O
593729	Bantice	O
569836	Barchov	O
574724	Barchov	O
533173	Barchovice	O
599212	Bartošovice	O
576093	Bartošovice v Orlických horách	O
548260	Bartoušov	O
588300	Bařice-Velké Těšany	O
598011	Baška	O
572667	Bašnice	O
538051	Bašť	O
586862	Batelov	T
579041	Batňovice	O
550809	Bavorov	M
584304	Bavory	O
534421	Bavoryně	O
566756	Bdeněves	O
565423	Bdín	O
536156	Bečice	O
563366	Bečice	O
567043	Bečov	O
554995	Bečov nad Teplou	M
533181	Bečváry	O
589268	Bedihošť	O
562548	Bednárec	O
561053	Bednáreček	O
563536	Bedřichov	O
581313	Bedřichov	O
541842	Běhařov	O
593737	Běhařovice	T
572675	Běchary	O
564575	Bechlín	O
552054	Bechyně	M
512974	Bělá	O
561126	Bělá	O
573566	Bělá	O
576972	Bělá	O
553441	Bělá nad Radbuzou	M
572586	Bělá nad Svitavou	O
535443	Bělá pod Bezdězem	M
523917	Bělá pod Pradědem	O
505391	Bělá u Jevíčka	O
550817	Bělčice	O
535010	Běleč	O
560448	Běleč	O
581321	Běleč	O
569852	Běleč nad Orlicí	O
500526	Bělkovice-Lašťany	O
532070	Běloky	O
512231	Bělotín	O
588318	Bělov	O
533190	Bělušice	O
567051	Bělušice	O
569861	Benátky	O
577774	Benátky	O
535451	Benátky nad Jizerou	M
576981	Benecko	O
529303	Benešov	M
581330	Benešov	O
545406	Benešov nad Černou	O
562351	Benešov nad Ploučnicí	M
576999	Benešov u Semil	O
560723	Benešovice	O
590304	Benetice	O
512281	Beňov	O
531111	Bernardov	O
524891	Bernartice	O
532568	Bernartice	O
549266	Bernartice	T
579050	Bernartice	O
568481	Bernartice nad Odrou	O
531057	Beroun	M
537021	Běrunice	O
532088	Beřovice	O
545414	Besednice	T
553760	Běstovice	O
571181	Běstvina	O
555797	Běšiny	O
531073	Běštín	O
574309	Bezděčí u Trnávky	O
598895	Bezdědovice	O
541095	Bezděkov	O
548430	Bezděkov	O
555801	Bezděkov	O
574741	Bezděkov	O
573884	Bezděkov nad Metují	O
529672	Bezděkov pod Třemšínem	O
561398	Bezděz	O
560740	Bezdružice	M
593745	Bezkov	O
588326	Bezměrov	O
535478	Bezno	T
512401	Bezuchov	O
558656	Bezvěrov	O
563901	Bílá	O
598020	Bílá	O
565750	Bílá Hlína	O
500623	Bílá Lhota	O
579068	Bílá Třemešná	O
525227	Bílá Voda	O
597198	Bílčice	O
533971	Bílé Podolí	T
579076	Bílé Poličany	O
